ConfigName,HiddenLayers,TrainFcn,OutputFcn,TrainRatio,ValRatio,TestRatio,Epochs,LR,MeanGlobal,StdGlobal,MeanTest,StdTest
H[10]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[50]_LR[0.010],10,trainscg,logsig,0.7,0.15,0.15,50,0.01,91.028,11.9115749495093,91.12,11.6150944788704
H[10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],10,trainscg,logsig,0.8,0.1,0.1,50,0.01,88.588,13.8901442277129,88.58,13.9906159025732
H[30]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],30,trainscg,logsig,0.8,0.1,0.1,100,0.01,88.222,9.49457599544779,87.9,9.45550985757334
H[30]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],30,trainscg,logsig,0.8,0.1,0.1,50,0.01,86.282,12.8553679233402,86.3,12.9588236777537
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[50]_LR[0.010],[30 15],trainscg,logsig,0.7,0.15,0.15,50,0.01,82.36,13.3566729057468,82.5333333333333,13.1031991193179
H[30]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],30,trainscg,logsig,0.7,0.15,0.15,100,0.01,82.208,19.741636091154,82.12,18.9560062470845
H[10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],10,trainscg,logsig,0.8,0.1,0.1,100,0.01,82.068,17.8786681084843,81.26,18.8177339526073
H[20_10]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],[20 10],trainscg,logsig,0.7,0.15,0.15,100,0.01,80.602,18.0367857446941,80.4666666666667,18.1727512746114
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],[30 15],trainscg,logsig,0.8,0.1,0.1,50,0.01,79.716,17.812901192363,79.76,18.630154767652
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],[30 15],trainscg,logsig,0.7,0.15,0.15,100,0.01,79.304,17.8956203208122,79.76,17.4923531794063
H[20_10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],[20 10],trainscg,logsig,0.8,0.1,0.1,100,0.01,79.098,21.7227468081016,78.9,21.7264303965879
H[10]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],10,trainscg,logsig,0.7,0.15,0.15,100,0.01,78.446,20.3541293653701,78.1866666666667,21.0082829050183
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],[30 15],trainscg,logsig,0.8,0.1,0.1,100,0.01,78.384,12.1860751132867,77.78,12.5872775275496
H[30]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[50]_LR[0.010],30,trainscg,logsig,0.7,0.15,0.15,50,0.01,76.652,19.6583783664879,76.5066666666667,19.102923310644
H[20_10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],[20 10],trainscg,logsig,0.8,0.1,0.1,100,0.01,76.192,23.4298161419258,75.24,24.041038986607
